Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
100000       | 6974         | 26759        | Array        | 0,014300             | 0,000300 ms          | 16,969200 ms         | 16,968900 ms        Binært søk 47,67 ganger raskere. Med sortering: Lineært søk 1186,66 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,151800             | 0,000300 ms          | 20,262100 ms         | 20,261800 ms        Binært søk 506,00 ganger raskere. Med sortering: Lineært søk 133,48 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,133100             | 0,000200 ms          | 16,670900 ms         | 16,670700 ms        Binært søk 665,50 ganger raskere. Med sortering: Lineært søk 125,25 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,136000             | 0,000300 ms          | 18,573400 ms         | 18,573100 ms        Binært søk 453,33 ganger raskere. Med sortering: Lineært søk 136,57 ganger raskere.
1000000      | 250992       | 557743       | Array        | 0,334700             | 0,000600 ms          | 179,870300 ms        | 179,869700 ms       Binært søk 557,83 ganger raskere. Med sortering: Lineært søk 537,41 ganger raskere.
1000000      | 605680       | 908497       | Array        | 0,878000             | 0,000400 ms          | 157,328800 ms        | 157,328400 ms       Binært søk 2195,00 ganger raskere. Med sortering: Lineært søk 179,19 ganger raskere.
1000000      | 94939        | 172188       | Array        | 0,115700             | 0,000400 ms          | 174,589900 ms        | 174,589500 ms       Binært søk 289,25 ganger raskere. Med sortering: Lineært søk 1508,99 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,228400             | 0,000300 ms          | 185,322900 ms        | 185,322600 ms       Binært søk 4094,67 ganger raskere. Med sortering: Lineært søk 150,87 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,222100             | 0,000200 ms          | 180,202300 ms        | 180,202100 ms       Binært søk 6110,50 ganger raskere. Med sortering: Lineært søk 147,45 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,241800             | 0,000300 ms          | 185,650900 ms        | 185,650600 ms       Binært søk 4139,33 ganger raskere. Med sortering: Lineært søk 149,50 ganger raskere.
