Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000000      | Not found    | Not found    | List         | 2,688200             | 0,000200 ms          | 249,484500 ms        | 249,484300 ms       Binært søk 13441,00 ganger raskere. Med sortering: Lineært søk 92,81 ganger raskere.
10000000     | 2392875      | 7817923      | List         | 6,126000             | 0,001500 ms          | 2847,701700 ms       | 2847,700200 ms      Binært søk 4084,00 ganger raskere. Med sortering: Lineært søk 464,85 ganger raskere.
10000000     | 4256031      | 9392419      | List         | 10,625700            | 0,001700 ms          | 2865,024000 ms       | 2865,022300 ms      Binært søk 6250,41 ganger raskere. Med sortering: Lineært søk 269,63 ganger raskere.
10000000     | 807840       | 9350740      | List         | 2,457400             | 0,001600 ms          | 2911,601000 ms       | 2911,599400 ms      Binært søk 1535,87 ganger raskere. Med sortering: Lineært søk 1184,83 ganger raskere.
10000000     | Not found    | Not found    | List         | 24,768100            | 0,001800 ms          | 2917,332700 ms       | 2917,330900 ms      Binært søk 13760,06 ganger raskere. Med sortering: Lineært søk 117,79 ganger raskere.
10000000     | Not found    | Not found    | List         | 24,781700            | 0,000800 ms          | 2856,130500 ms       | 2856,129700 ms      Binært søk 30977,12 ganger raskere. Med sortering: Lineært søk 115,25 ganger raskere.
10000000     | Not found    | Not found    | List         | 25,124400            | 0,000700 ms          | 2890,961200 ms       | 2890,960500 ms      Binært søk 35892,00 ganger raskere. Med sortering: Lineært søk 115,07 ganger raskere.
1000         | 259          | 461          | List         | 0,046500             | 0,058600 ms          | 0,483000 ms          | 0,424400 ms         Lineært søk 1,26 ganger raskere. Med sortering: Lineært søk 10,39 ganger raskere.
1000         | 707          | 264          | List         | 0,003500             | 0,000200 ms          | 0,360800 ms          | 0,360600 ms         Binært søk 17,50 ganger raskere. Med sortering: Lineært søk 103,09 ganger raskere.
1000         | 441          | 326          | List         | 0,001800             | 0,000200 ms          | 0,308800 ms          | 0,308600 ms         Binært søk 9,00 ganger raskere. Med sortering: Lineært søk 171,56 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000200 ms          | 0,244800 ms          | 0,244600 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 87,43 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000100 ms          | 0,403600 ms          | 0,403500 ms         Binært søk 28,00 ganger raskere. Med sortering: Lineært søk 144,14 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000100 ms          | 0,277900 ms          | 0,277800 ms         Binært søk 28,00 ganger raskere. Med sortering: Lineært søk 99,25 ganger raskere.
10000        | 5061         | 5654         | List         | 0,013700             | 0,000200 ms          | 2,979800 ms          | 2,979600 ms         Binært søk 68,50 ganger raskere. Med sortering: Lineært søk 217,50 ganger raskere.
10000        | 2264         | 2487         | List         | 0,009400             | 0,000400 ms          | 4,009000 ms          | 4,008600 ms         Binært søk 23,50 ganger raskere. Med sortering: Lineært søk 426,49 ganger raskere.
10000        | 8106         | 2057         | List         | 0,021800             | 0,000200 ms          | 3,370200 ms          | 3,370000 ms         Binært søk 109,00 ganger raskere. Med sortering: Lineært søk 154,60 ganger raskere.
10000        | Not found    | Not found    | List         | 0,027400             | 0,000200 ms          | 2,001800 ms          | 2,001600 ms         Binært søk 137,00 ganger raskere. Med sortering: Lineært søk 73,06 ganger raskere.
10000        | Not found    | Not found    | List         | 0,026900             | 0,000200 ms          | 2,055300 ms          | 2,055100 ms         Binært søk 134,50 ganger raskere. Med sortering: Lineært søk 76,41 ganger raskere.
10000        | Not found    | Not found    | List         | 0,026900             | 0,000200 ms          | 2,454400 ms          | 2,454200 ms         Binært søk 134,50 ganger raskere. Med sortering: Lineært søk 91,24 ganger raskere.
100000       | 39833        | 84105        | List         | 0,106000             | 0,000300 ms          | 33,299600 ms         | 33,299300 ms        Binært søk 353,33 ganger raskere. Med sortering: Lineært søk 314,15 ganger raskere.
100000       | 34098        | 38555        | List         | 0,091300             | 0,000300 ms          | 27,567000 ms         | 27,566700 ms        Binært søk 304,33 ganger raskere. Med sortering: Lineært søk 301,94 ganger raskere.
100000       | 34032        | 79283        | List         | 0,091000             | 0,000300 ms          | 24,951400 ms         | 24,951100 ms        Binært søk 303,33 ganger raskere. Med sortering: Lineært søk 274,19 ganger raskere.
100000       | Not found    | Not found    | List         | 0,566000             | 0,000200 ms          | 25,242000 ms         | 25,241800 ms        Binært søk 2830,00 ganger raskere. Med sortering: Lineært søk 44,60 ganger raskere.
100000       | Not found    | Not found    | List         | 0,241200             | 0,000200 ms          | 20,995000 ms         | 20,994800 ms        Binært søk 1206,00 ganger raskere. Med sortering: Lineært søk 87,04 ganger raskere.
100000       | Not found    | Not found    | List         | 0,302700             | 0,000300 ms          | 20,677400 ms         | 20,677100 ms        Binært søk 1009,00 ganger raskere. Med sortering: Lineært søk 68,31 ganger raskere.
1000000      | 678529       | 63345        | List         | 1,987000             | 0,006700 ms          | 266,454100 ms        | 266,447400 ms       Binært søk 296,57 ganger raskere. Med sortering: Lineært søk 134,10 ganger raskere.
1000000      | 245001       | 399595       | List         | 0,593700             | 0,000900 ms          | 250,877400 ms        | 250,876500 ms       Binært søk 659,67 ganger raskere. Med sortering: Lineært søk 422,57 ganger raskere.
1000000      | 573625       | 258155       | List         | 1,726400             | 0,000500 ms          | 258,448300 ms        | 258,447800 ms       Binært søk 3452,80 ganger raskere. Med sortering: Lineært søk 149,70 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,672400             | 0,000300 ms          | 250,203000 ms        | 250,202700 ms       Binært søk 8908,00 ganger raskere. Med sortering: Lineært søk 93,62 ganger raskere.
