Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | Nonexistent  | ------       | LinkedList   | 0,004800 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,005600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 5864         | ------       | LinkedList   | 0,033500 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 4527         | ------       | LinkedList   | 0,030200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 2411         | ------       | LinkedList   | 0,010900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,042400 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,075300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,064700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 28016        | ------       | LinkedList   | 0,175600 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 6464         | ------       | LinkedList   | 0,028200 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 23130        | ------       | LinkedList   | 0,165500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,333900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,269500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,332400 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | 827345       | ------       | LinkedList   | 2,267600 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | 503462       | ------       | LinkedList   | 1,668200 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | 64633        | ------       | LinkedList   | 0,237700 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | ------       | LinkedList   | 4,009400 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | ------       | LinkedList   | 5,112200 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | ------       | LinkedList   | 4,065000 ms          | ------ ms            | ------ ms            | ------ ms           
10000000     | 4476312      | ------       | LinkedList   | 21,342000 ms         | ------ ms            | ------ ms            | ------ ms           
10000000     | 1614269      | ------       | LinkedList   | 8,192700 ms          | ------ ms            | ------ ms            | ------ ms           
10000000     | 821015       | ------       | LinkedList   | 4,921800 ms          | ------ ms            | ------ ms            | ------ ms           
10000000     | Nonexistent  | ------       | LinkedList   | 46,293000 ms         | ------ ms            | ------ ms            | ------ ms           
10000000     | Nonexistent  | ------       | LinkedList   | 45,237200 ms         | ------ ms            | ------ ms            | ------ ms           
10000000     | Nonexistent  | ------       | LinkedList   | 44,295600 ms         | ------ ms            | ------ ms            | ------ ms           
1000         | 347          | ------       | LinkedList   | 0,290400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 345          | ------       | LinkedList   | 0,002600 ms          | ------ ms            | ------ ms            | ------ ms           
